Питання,Варіант 1 (вірний),Варіант 2,Варіант 3,Варіант 4
Що таке JavaScript?,Мова програмування,Браузер,Операційна система,Текстовий редактор
Як запустити JavaScript у браузері?,Використовуючи консоль розробника,Використовуючи текстовий редактор,Використовуючи графічний редактор,Використовуючи файловий менеджер
Який символ використовується для однорядкових коментарів у JavaScript?,//,/*,<!--,-->
Який символ використовується для багаторядкових коментарів у JavaScript?,/* */,//,<!-- -->,{}
Яке ключове слово використовується для оголошення змінної, значення якої не можна змінити?,const,let,var,function
Яке ключове слово використовується для оголошення змінної, значення якої можна змінити?,let,const,var,function
Яке ключове слово використовується для оголошення глобальної змінної?,var,let,const,function
Який тип даних використовується для зберігання текстових значень?,string,number,boolean,object
Який тип даних використовується для зберігання числових значень?,number,string,boolean,object
Який тип даних використовується для зберігання логічних значень?,boolean,number,string,object
Який тип даних використовується для зберігання значення null?,null,undefined,boolean,object
Який тип даних використовується для зберігання значення undefined?,undefined,null,boolean,object
Який оператор використовується для додавання чисел?,+,-,*,/
Який оператор використовується для віднімання чисел?,-,+,*,/
Який оператор використовується для множення чисел?,*,+,-,/
Який оператор використовується для ділення чисел?,/,+,-,*
Який оператор використовується для отримання залишку від ділення?,%,+,-,*
Який оператор використовується для збільшення значення змінної на 1?,++,--,+=,-=
Який оператор використовується для зменшення значення змінної на 1?,--,++,+=,-=
Який метод використовується для визначення довжини рядка?,length,size,count,measure
Який метод використовується для заміни частини рядка?,replace,change,swap,modify
Який метод використовується для перетворення рядка в масив?,split,join,slice,splice
Який метод використовується для об'єднання масиву в рядок?,join,split,slice,splice
Який метод використовується для додавання елементів до кінця масиву?,push,pop,shift,unshift
Який метод використовується для видалення останнього елемента з масиву?,pop,push,shift,unshift
Який метод використовується для видалення першого елемента з масиву?,shift,pop,push,unshift
Який метод використовується для додавання елементів на початок масиву?,unshift,push,pop,shift
Який метод використовується для створення нового масиву з результатами виклику функції для кожного елемента масиву?,map,filter,reduce,forEach
Який метод використовується для створення нового масиву з усіма елементами, які пройшли перевірку, задану у функції?,filter,map,reduce,forEach
Який метод використовується для зведення масиву до одного значення?,reduce,map,filter,forEach
Який цикл використовується для виконання коду доти, доки задана умова залишається істинною?,while,for,do...while,for...of
Який цикл використовується для виконання коду хоча б один раз, незалежно від умови?,do...while,while,for,for...of
Який цикл використовується для ітерації по елементах масивів або інших ітеративних об’єктів?,for...of,for,while,do...while
Який цикл використовується для ітерації по ключах об’єкта?,for...in,for,while,do...while
Який оператор використовується для перевірки рівності значень?,==,===,!=,!== 
Який оператор використовується для перевірки рівності значень і типів?,===,==,!=,!== 
Який оператор використовується для перевірки нерівності значень?,!=,==,===,!== 
Який оператор використовується для перевірки нерівності значень і типів?,!==,==,===,!= 
Який оператор використовується для об'єднання кількох умов, де всі умови повинні бути істинними?,&&,||,!,?? 
Який оператор використовується для об'єднання кількох умов, де хоча б одна умова повинна бути істинною?,||,&&,!,?? 
Який оператор використовується для перевірки, чи значення є істинним?,!,&&,||,?? 
Який оператор використовується для перевірки, чи значення є хибним?,!,&&,||,?? 
Який оператор використовується для скорочення умовної конструкції if-else до одного рядка,? :,if,else,switch 
Який оператор використовується для перевірки однієї змінної на відповідність кільком можливим значенням?,switch,if,else,? : 
Який метод використовується для додавання слухача подій до елемента?,addEventListener,attachEvent,on,bind 
Який метод використовується для видалення слухача подій з елемента?,removeEventListener,detachEvent,off,unbind 
Який метод використовується для створення нового елемента?,createElement,appendChild,removeChild,insertBefore 
Який метод використовується для додавання нового елемента як дочірнього до існуючого?,appendChild,createElement,removeChild,insertBefore 
Який метод використовується для видалення елемента зі сторінки?,removeChild,createElement,appendChild,insertBefore 
Який метод використовується для вставки нового елемента перед іншим елементом?,insertBefore,createElement,appendChild,removeChild 
Який метод використовується для отримання значення атрибута?,getAttribute,setAttribute,removeAttribute,hasAttribute 
Який метод використовується для встановлення значення атрибута?,setAttribute,getAttribute,removeAttribute,hasAttribute 
Який метод використовується для видалення атрибута?,removeAttribute,getAttribute,setAttribute,hasAttribute 
Який метод використовується для перевірки наявності атрибута?,hasAttribute,getAttribute,setAttribute,removeAttribute 
Який метод використовується для зміни інлайн-стилів елемента?,style,classList,setAttribute,getAttribute 
Який метод використовується для додавання класу до елемента?,classList.add,classList.remove,classList.toggle,classList.contains 
Який метод використовується для видалення класу з елемента?,classList.remove,classList.add,classList.toggle,classList.contains 
Який метод використовується для перемикання класу на елементі?,classList.toggle,classList.add,classList.remove,classList.contains 
Який метод використовується для перевірки наявності класу на елементі?,classList.contains,classList.add,classList.remove,classList.toggle 
Який метод використовується для отримання значення елемента форми?,value,textContent,innerHTML,getAttribute 
Який метод використовується для зміни значення елемента форми?,value,textContent,innerHTML,setAttribute 
Який метод використовується для обробки даних, введених у форми?,submit,reset,validate,process 
Який метод використовується для отримання батьківського елемента?,parentNode,childNodes,nextSibling,previousSibling 
Який метод використовується для отримання дочірніх вузлів?,childNodes,parentNode,nextSibling,previousSibling 
Який метод використовується для отримання сусіднього вузла?,nextSibling,parentNode,childNodes,previousSibling 
Який метод використовується для отримання попереднього вузла?,previousSibling,parentNode,childNodes,nextSibling 
Який метод використовується для створення нового об’єкта?,Object.create,Object.assign,Object.defineProperty,Object.freeze 
Який метод використовується для копіювання властивостей з одного об’єкта в інший?,Object.assign,Object.create,Object.defineProperty,Object.freeze 
Який метод використовується для визначення властивості об’єкта?,Object.defineProperty,Object.create,Object.assign,Object.freeze 
Який метод використовується для заморожування об’єкта?,Object.freeze,Object.create,Object.assign,Object.defineProperty 
Який метод використовується для перевірки наявності властивості в об’єкті?,hasOwnProperty,propertyIsEnumerable,isPrototypeOf,toString 
Який метод використовується для перевірки, чи властивість є власною властивістю об’єкта?,hasOwnProperty,propertyIsEnumerable,isPrototypeOf,toString 
Який метод використовується для перевірки, чи властивість є перелічуваною?,propertyIsEnumerable,hasOwnProperty,isPrototypeOf,toString 
Який метод використовується для перевірки, чи об’єкт є прототипом іншого об’єкта?,isPrototypeOf,hasOwnProperty,propertyIsEnumerable,toString 
Який метод використовується для перетворення об’єкта в рядок?,toString,valueOf,toLocaleString,toJSON 
Який метод використовується для перетворення об’єкта в JSON-рядок?,JSON.stringify,JSON.parse,toString,valueOf 
Який метод використовується для перетворення JSON-рядка в об’єкт?,JSON.parse,JSON.stringify,toString,valueOf 
Який метод використовується для створення нового екземпляра класу?,new,create,define,construct 
Який метод використовується для виклику методу батьківського класу?,super,this,parent,base 
Який метод використовується для перевизначення методу в дочірньому класі?,override,super,this,parent 
Який метод використовується для створення статичного методу в класі?,static,class,method,function 
Який метод використовується для створення приватного поля в класі?,#,private,_,__ 
Який метод використовується для створення гетера в класі?,get,set,define,create 
Який метод використовується для створення сетера в класі?,set,get,define,create 
Який метод використовується для створення нового масиву?,Array.from,Array.of,Array.isArray,Array.prototype 
Який метод використовується для перевірки, чи є значення масивом?,Array.isArray,Array.from,Array.of,Array.prototype 
Який метод використовується для створення масиву з аргументів функції?,Array.from,Array.of,Array.isArray,Array.prototype 
Який метод використовується для створення масиву з елементів?,Array.of,Array.from,Array.isArray,Array.prototype 
Який метод використовується для додавання елементів до масиву?,Array.prototype.push,Array.prototype.pop,Array.prototype.shift,Array.prototype.unshift 
Який метод використовується для видалення елементів з масиву?,Array.prototype.pop,Array.prototype.push,Array.prototype.shift,Array.prototype.unshift 
Який метод використовується для видалення першого елемента з масиву?,Array.prototype.shift,Array.prototype.pop,Array.prototype.push,Array.prototype.unshift 
Який метод використовується для додавання елементів на початок масиву?,Array.prototype.unshift,Array.prototype.push,Array.prototype.pop,Array.prototype.shift 
Який метод використовується для створення нового масиву з результатами виклику функції для кожного елемента масиву?,Array.prototype.map,Array.prototype.filter,Array.prototype.reduce,Array.prototype.forEach 
Який метод використовується для створення нового масиву з усіма елементами, які пройшли перевірку, задану у функції?,Array.prototype.filter,Array.prototype.map,Array.prototype.reduce,Array.prototype.forEach 
Який метод використовується для зведення масиву до одного значення?,Array.prototype.reduce,Array.prototype.map,Array.prototype.filter,Array.prototype.forEach 
Який метод використовується для виконання функції для кожного елемента масиву?,Array.prototype.forEach,Array.prototype.map,Array.prototype.filter,Array.prototype.reduce 
Який метод використовується для сортування елементів масиву?,Array.prototype.sort,Array.prototype.reverse,Array.prototype.slice,Array.prototype.splice 
Який метод використовується для зворотного порядку елементів масиву?,Array.prototype.reverse,Array.prototype.sort,Array.prototype.slice,Array.prototype.splice 
Який метод використовується для створення нового масиву з частини існуючого масиву?,Array.prototype.slice,Array.prototype.splice,Array.prototype.sort,Array.prototype.reverse 
Який метод використовується для видалення або заміни існуючих елементів масиву?,Array.prototype.splice,Array.prototype.slice,Array.prototype.sort,Array.prototype.reverse 
Який метод використовується для об'єднання двох або більше масивів?,concat,Array.prototype.join,Array.prototype.push,Array.prototype.pop 
Який метод використовується для перетворення масиву в рядок?,Array.prototype.join,concat,Array.prototype.push,Array.prototype.pop 
Який метод використовується для перевірки, чи містить масив певний елемент?,Array.prototype.includes,Array.prototype.indexOf,Array.prototype.find,Array.prototype.filter 
Який метод використовується для пошуку індексу першого входження елемента в масив?,Array.prototype.indexOf,Array.prototype.includes,Array.prototype.find,Array.prototype.filter 
Який метод використовується для пошуку індексу останнього входження елемента в масив?,Array.prototype.lastIndexOf,Array.prototype.indexOf,Array.prototype.includes,Array.prototype.find 
Який метод використовується для пошуку першого елемента, що задовольняє умову?,Array.prototype.find,Array.prototype.filter,Array.prototype.map,Array.prototype.reduce 
Який метод використовується для пошуку індексу першого елемента, що задовольняє умову?,Array.prototype.findIndex,Array.prototype.find,Array.prototype.filter,Array.prototype.map 
Який метод використовується для перевірки, чи кожен елемент масиву задовольняє умову?,Array.prototype.every,Array.prototype.some,Array.prototype.find,Array.prototype.filter 
Який метод використовується для перевірки, чи хоча б один елемент масиву задовольняє умову?,Array.prototype.some,Array.prototype.every,Array.prototype.find,Array.prototype.filter 
Що таке DOM?,Document Object Model,Data Object Model,Document Oriented Model,Data Oriented Model
Яка мета DOM?,To represent the structure of a web document,To style web pages,To store data,To manage user sessions
Який метод використовується для вибору елемента за його ID?,getElementById,querySelector,getElementsByClassName,getElementsByTagName
Який метод використовується для вибору елементів за їх класом?,getElementsByClassName,getElementById,querySelector,getElementsByTagName
Який метод використовується для вибору елементів за їх тегом?,getElementsByTagName,getElementById,querySelector,getElementsByClassName
Який метод використовується для вибору першого елемента, що відповідає CSS-селектору?,querySelector,getElementById,getElementsByClassName,getElementsByTagName
Який метод використовується для вибору всіх елементів, що відповідають CSS-селектору?,querySelectorAll,getElementById,getElementsByClassName,getElementsByTagName
Як змінити текстовий вміст елемента?,textContent,innerHTML,outerHTML,value
Як змінити HTML-вміст елемента?,innerHTML,textContent,outerHTML,value
Як додати новий елемент до DOM?,createElement,removeChild,getElementById,querySelector
Як видалити елемент з DOM?,removeChild,createElement,getElementById,querySelector
Як додати слухача подій до елемента?,addEventListener,removeEventListener,createElement,querySelector
Як видалити слухача подій з елемента?,removeEventListener,addEventListener,createElement,querySelector
Як отримати значення атрибута елемента?,getAttribute,setAttribute,removeAttribute,hasAttribute
Як встановити значення атрибута елемента?,setAttribute,getAttribute,removeAttribute,hasAttribute
Як видалити атрибут з елемента?,removeAttribute,getAttribute,setAttribute,hasAttribute
Як перевірити, чи має елемент певний атрибут?,hasAttribute,getAttribute,setAttribute,removeAttribute
Як змінити інлайн-стилі елемента?,style,classList,setAttribute,getAttribute
Як додати клас до елемента?,classList.add,classList.remove,classList.toggle,classList.contains
Як видалити клас з елемента?,classList.remove,classList.add,classList.toggle,classList.contains
Як перемикати клас на елементі?,classList.toggle,classList.add,classList.remove,classList.contains
Як перевірити, чи має елемент певний клас?,classList.contains,classList.add,classList.remove,classList.toggle
Як отримати батьківський елемент?,parentNode,childNodes,nextSibling,previousSibling
Як отримати дочірні вузли елемента?,childNodes,parentNode,nextSibling,previousSibling
Як отримати наступний сусідній вузол елемента?,nextSibling,parentNode,childNodes,previousSibling
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.map(num => num * 2).filter(num => num > 4); console.log(result);,[6, 8],[2, 4, 6, 8],[4, 6, 8],[8, 6]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.filter(num => num % 2 === 0); console.log(result);,[2, 4],[1, 3],[1, 2, 3, 4],[4, 2]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.reduce((acc, num) => acc + num, 0); console.log(result);,10,24,0,4
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.find(num => num > 2); console.log(result);,3,1,2,4
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.every(num => num > 0); console.log(result);,true,false,undefined,null
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.some(num => num > 3); console.log(result);,true,false,undefined,null
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.slice(1, 3); console.log(result);,[2, 3],[1, 2],[3, 4],[1, 3]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.splice(1, 2); console.log(result);,[2, 3],[1, 2],[3, 4],[1, 3]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.concat([5, 6]); console.log(result);,[1, 2, 3, 4, 5, 6],[5, 6],[1, 2, 3, 4],[6, 5, 4, 3, 2, 1]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.join('-'); console.log(result);,1-2-3-4,1,2,3,4,1234,1 2 3 4
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.reverse(); console.log(result);,[4, 3, 2, 1],[1, 2, 3, 4],[2, 3, 4, 1],[4, 1, 2, 3]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.sort((a, b) => b - a); console.log(result);,[4, 3, 2, 1],[1, 2, 3, 4],[2, 3, 4, 1],[4, 1, 2, 3]
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.findIndex(num => num > 2); console.log(result);,2,1,3,4
What will be logged to the console? const numbers = [1, 2, 3, 4]; const result = numbers.indexOf(3); console.log(result);,2,1,3,4
